Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
01-Jan,0,0,0,0,0,0,3.1,15.4,0,10.9,0,0,0.9,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
02-Jan,0,0,0,0,0,0,3,0,0,28.3,0,2.5,0,0,0,0,0,0,0,0,0,5.8,0,0,0,4.3,0,0,4.4,0,-9999999,0,0,0,0
03-Jan,3.4,0,0,0,0,0,0.9,0,1.6,4.8,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,2.1,0,0,7.2,9.3,-9999999,0,0,2.2,0
04-Jan,0,0,0,0,0,0,0,1.5,5,13.6,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,3.2,0,3.5,-9999999,0,0,0,0
05-Jan,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,11.3,8,11.5,0,0,0,1.1,0,6.7,-9999999,0,0,0,0
06-Jan,1.3,0,0,0,0,0,0,0,0,0,2.7,0,3.3,0,0,27.5,0,0,0,0,0,0,7,2.1,0,0,0,0,3.1,0,-9999999,0,0,0,0
07-Jan,0,0,0,0,0,0,0,1.9,0.8,0,9.9,0.5,23.2,0,2.8,0.5,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
08-Jan,0,20,0,0.2,0,0,0,0,0,0,8.5,0,1.5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0.2,0,0
09-Jan,0,0,0,17.3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,12.2,2,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,3.4,0,0
10-Jan,0,5,0,0,0,0,0,3.1,0,0,0,0.4,0,0,0,1.5,0,12.2,0.1,0,10.1,0,0,0,0,0,0,0,0,0,-9999999,0,0,6.6,0
11-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.7,0,0,14.1,0,0,0,0,1.2,0,4.1,0,0,-9999999,0,0,0,0
12-Jan,0,0,0,0,0,0,0,0,0,0,0,1.3,3.5,0,0,4.5,0,3,0,0,7.5,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
13-Jan,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,8.5,0,2.5,0,0,9.3,0,0,0,0,0,0,0,0,0,-9999999,0,0.2,0,0
14-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.3,0,7.9,0,0,0,0,-9999999,0,0,0,0
15-Jan,0,9,0,0,0,0,0,1.3,0,0,0,0,0,0,0,3.5,21,3.4,0,0,0,0,0,0,0,11.3,0,0,0,0,-9999999,0,0,0,0
16-Jan,0,0,0,0,0,0,0,25.7,0,0,0,0,8.4,0,0,0,7.2,10,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
17-Jan,0,1.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0.8,0
18-Jan,0,0,0,0,0,0,0,0,0,0,0,0,30.9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7.7,0,-9999999,0,0,0,0
19-Jan,0,0,0,0,0,1.1,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,-9999999,0,0,0,0
20-Jan,0,0,0,0,0,1.5,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,-9999999,0,0,0.4,0
21-Jan,0,0,0,0,0,0.4,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,7.3,-9999999,0,0,4.8,0
22-Jan,0,0,0,0,0.8,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,-9999999,0,0,2.8,0
23-Jan,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
24-Jan,0,0,0,0,3.7,0,0,2.8,0,0,0,0,0,0,0,7,0,0,0,0,18,0,0,0,11.3,0,0,0,0,0,-9999999,0,0,0,0
25-Jan,0,0,0,0,0,0,0,0,0,0,0.7,11.4,3.4,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
26-Jan,0,0,0,0,0,0,0.4,0,0,0,15.4,3.5,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
27-Jan,0,0,0,0,0,0,0,0,0,0,0,0.4,4.9,0,0.8,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
28-Jan,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,-9999999,0,0,0,0
29-Jan,0,0,0,0,1.5,0,0.9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3,0,0,0,-9999999,0,0,0,0
30-Jan,0,6.7,0,0,0,0,0,2.4,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,-9999999,0,3.8,0,0
31-Jan,0,1.7,0,2.2,5,0,0,1.2,0,0,0.3,0,0,0,0,4,0,0,0,0,0,0,0,7.7,0,0,12.2,0,0,0,-9999999,0,22,0,0
01-Feb,0,9.2,0.2,0,17,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,-9999999,0,0.6,0,0
02-Feb,0,0,6,0,10.4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,-9999999,0,13.6,0,0
03-Feb,0,0.8,0,0,6.2,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
04-Feb,0,0,0,0,0,0.4,0,0,2.3,0,0,0,0,0,0,6.8,0,0,0,0,11.4,0,0,0,0,0,0.5,0,0,6.1,-9999999,0,0,0,0
05-Feb,0,0,0,0,2.9,10.1,0,0,5.5,0,0,0,21.8,0,0,0.2,0,0,0,0,4.2,0,0,0,0,0,0,0,0,3.5,-9999999,0,0,0,0
06-Feb,0,0,0,0,7.6,0.7,0.4,0,1.8,2.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-9999999,0,0,14.4,0
07-Feb,0,0,0,0,0,0,0,0,0.9,1.5,0,0,0,0,0,0.3,0,2.2,0,0,7.5,11.1,0,0,0,0,0,0,2.1,0,-9999999,0,3.2,13.6,0
08-Feb,0,0,0,5.6,0,0,0,0,3.9,16.6,17.6,0,4.6,0,40,0,0,0,0,0,0,7.3,0,0,0,0,0,0,3.1,0,-9999999,0,0.2,0,0
09-Feb,0,0.9,0,0,0,0,0,0,29.5,0,0,0,53.8,0,1.8,0,0,87,0,0,0,0,0,0,0,0,5.9,0,0,0,-9999999,0,0,0,0
10-Feb,0,0,0,0,0,0,0,10,7.8,3.2,2,0,29.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,-9999999,0,0,0,0
11-Feb,0,0,12.5,0,0,0,0,0,0,7.3,0,4.6,6,0,0,1.1,0,2.1,4,0,0,15.2,0,0,0,0,0,0,0,0.8,-9999999,0,0,0,0
12-Feb,0,0,0,0,0,0,25.4,0.2,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,-9999999,0,0,0,0
13-Feb,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,3.1,2.1,0,0,0,0,-9999999,0,0,0,0
14-Feb,0.8,2.1,0,0,0,1.4,0,0,0,0,3,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,8.1,0,0,0,-9999999,0,1.4,0,0
15-Feb,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,-9999999,0,1.2,0,0
16-Feb,16.4,1.6,0.1,0,0,0,0,0,0,0,4,0,0,0,20.8,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,2.8,0
17-Feb,3.4,8.2,0,0,0,3.1,0,0,0,11.6,0,9.5,0,0,0,10.4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,-9999999,0,0,6,0
18-Feb,3.1,3,3.6,0,0,0,1,0,0,5.6,0,0,0,4.2,0,2,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,1.2
19-Feb,0,1.8,9.7,0,0,0,41.5,0.2,0,0.4,0,0,0,2.3,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,-9999999,2.6,0,0,0
20-Feb,0,0,0,0,0,0,1.5,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,1,1.4
21-Feb,0,0,0.6,0,0,0,21.5,0,4.4,45.3,0,10,0,0,0,1,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,-9999999,0,2.6,15.2,0
22-Feb,0,0,0,0,0,0,0,0,3.8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0.2,5,0
23-Feb,0,0,0,0,0,0,1,2,0,1,0,0,0,17.5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,-9999999,0,0,0,0
24-Feb,0,0,0,0,0,0,0,0,0,14,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
25-Feb,0,0,0,0,0,0,0,11.6,0,21.6,0,0.8,9.4,0.4,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,-9999999,0,0,0,0
26-Feb,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0
27-Feb,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,15,0,0,0,0,-9999999,5.8,0,0,0
28-Feb,0,0,0,10.3,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0.2,0,0,0
29-Feb,,,,3.1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
01-Mar,0,0,0,13.2,0,0,0,0,0,9.4,0,0,29.4,3.1,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,-9999999,0.8,0,0,0
02-Mar,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,4.5,0,0,6.5,0,0,0,0,0,0,0,0,0,0,7.1,-9999999,0.4,0,0,0
03-Mar,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10.1,0,0,1.3,0,7.9,0,0,4.5,-9999999,0.2,0,0,0
04-Mar,0,0,0,0,3.9,0,0,0.9,0,0,0,5.1,0,0,0,0,0,0,0,0,0,14.2,0,0,0,4.3,10.6,0,0,0.3,-9999999,0.2,0,0,0
05-Mar,0,0,0,0,9,4.8,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,30.2,0,0,0,0,18.2,17.8,0,0,0,-9999999,4.2,0,0,0
06-Mar,1.4,0,0,0,18.4,2,6.8,0,2.3,0,0,0,5,0,0,5.2,0,0,2.4,0,36.8,6.6,0,0,0,0,0,0,7.3,0,-9999999,1,0,0,0
07-Mar,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,5.5,0,0,9.5,0,0,20.4,0,2.1,0,8.1,0,0,0,0,-9999999,0.2,0,0,0
08-Mar,0,0,0,0,2.2,0,0,2.2,0,0,0,0,0,0,0,0.7,0,0,2,0,0,16.1,0,0,0,3.4,0,0,0,0,-9999999,0,0,0,0
09-Mar,0,0,0,0,0,0,0,56.1,0,0,0,0,13,0,0,9.5,0,0,1.5,0,0,16.5,0,0,0,0,0,0,0,0,-9999999,0,0.2,0,0
10-Mar,0,0,0,0,0,0,0.8,4.8,0.3,0,0,0,0,0,0,1.3,0,0,10,0,0,7.1,0,35.5,0,0,0,0,2.1,0,-9999999,0,0,0,0
11-Mar,0,0,0,0,0,0,0,0,3.4,0,0,0,2.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,34.2,0,0,0,-9999999,0,5.6,0,0
12-Mar,0,0,0,0,0,0,0,0,10.7,0,0.4,0,0.1,0,0,13,0,0,4.5,0,0,0,0,0,0,2.1,4.1,0,0,22.5,-9999999,0,0.8,0,0
13-Mar,0,20,26.8,0,0,2.8,0,0,14.6,0,0,0,6.4,0,0,0,0,0,24,0,0,0,0,17,0,3.1,0,0,0,7.1,-9999999,0,3,14.4,0
14-Mar,0,0,2.5,0,0,2.1,2.2,38.9,0,0,0,1.8,9,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,-9999999,0,0,36.4,0
15-Mar,0,6.9,0,0,0,1,0,5,0,0,0,12.2,0,1.1,0,31.6,0,0,0,0,0,0,0,3.5,0,0,0,0,0,11.2,-9999999,0,0,23.4,0
16-Mar,0,8.2,0,0,14.6,0,0,0.7,0,0,0,1.6,0,0,0,0,0,0,0,0,0,4.3,0,7.5,10.3,0,0,0,0,0,-9999999,0,0,1,0
17-Mar,0,0.2,0,0,0,0,0.7,1.5,0,0,0,6.8,0,9,0,0,0,0,0,3.2,0,7.2,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
18-Mar,0,0,0,0,0,8.9,12.5,0.5,0,0,0,1,0,20,0,9,0,0,0,0,2.3,0,0,0,4.5,0,3.1,0,0,0,1.6,0,0,0,0
19-Mar,0,0,0,21.5,0,2.8,0.8,0,0,0,0,2,0,26.4,0,3,0,0,0,0,4.1,5.8,0,0,5.3,8.7,0,0,0,26.1,0.2,0,1.2,0,0
20-Mar,4.2,0,0,9.2,3.5,0.3,4.6,2,0,0,0,0,0,1.6,0,0,0,5.6,0,0,0,0,0,5.1,9.1,0,0,0,30.9,9.1,13.4,0,14,0,0
21-Mar,0.4,0,0,0,1.9,4,0,14.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0.6,12.2,0,13,0,0
22-Mar,0,0,0,0,0,1.9,8.4,4,0,0.8,2.1,0.9,1.5,4.5,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,1,0,14,0,0
23-Mar,0,2.5,0,4.9,0,0,0,0,0,2.1,6.4,13.5,0,0.4,0,0,2.5,0,0,0,4.1,0,7.5,0,0,1.3,0,0,0,0,2.6,0,4.6,0,0
24-Mar,0,0,0,24.3,0,0,20.7,1.4,0,4.5,1.5,5.5,1.1,0,0,0,7,0,0,0,3.8,0,3.1,17,0,4.3,7.6,0,10.7,0,8.6,0,0,0.8,0.4
25-Mar,0,0,0,0.6,0,0,5.2,0,11.9,1.6,0,1.8,0,31.8,1.5,0,0,0,3.4,1,27.1,8.5,0,8.5,13.1,13.7,1.2,0,0,0,0.2,0,0,39.6,1.8
26-Mar,0,0,0,16.3,0,7,2.2,0,18.9,0,0,0.7,0,2.6,3.2,11,2.5,0,0,0,0,10.5,0,0,7.3,4.3,0,0,0,31.1,0,0,0,28.6,0
27-Mar,0,0,0,28.7,0.8,0,0,0.5,0,0,0,0,0,10.1,15.3,9.6,9.9,0,6,0,6.3,0,9.1,0,10,13.7,0,0,0,18.7,0,0,0.2,45.2,0.2
28-Mar,11,0,0,4.1,0,0,0.5,0,23,0,0,7.3,0,7,1.1,0,42,0,5,0,17.3,0,8.7,0,6,2.1,0,0,13.7,7.1,0,0,1.2,0,0
29-Mar,2,0,0,0,0.4,0,11.4,1,54.2,0,0,0.6,0,4.7,15,21.2,8,0,0,0,0,0,0,0,0,22.1,3.1,4.7,18.7,0,0,0,23.6,3.4,6.2
30-Mar,24.3,2.1,0,17.2,0.4,0,35.7,7.2,1.3,17.7,0,0,0,0,10,0,0,0,0,0,8.8,0,38.5,0,0,3.4,0,11.7,26.1,0,0.4,0,4,0,26.8
31-Mar,23.8,7.2,0,47.8,0,0,0,8.9,27.1,3.5,1.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,4.1,0,12.8,0,22.4,0,4.2
01-Apr,8.5,67.6,0,0,0,0,0,0,4.3,5.1,2.8,0,0,0,0,15.5,0,0,0,10,0,0,0,0,0,13.9,0,0,22.1,0,2.2,5.2,22,0.6,24
02-Apr,0,0.7,0,0,13.5,1,0,0,2.5,0.8,4.6,0.7,0,0,0,6.5,26.7,0,0,0,2.7,6,0,0,0,18.1,0,3.2,0,0,0.4,0.4,1,2.6,0.2
03-Apr,0,0,0,0,4.5,0.3,0,0,0,17,1.5,2,0,3,0,0,6.5,0,0,2,0,0,0,0,0,3.1,10.2,8.7,0,18.6,0,0,0,0,5
04-Apr,5,0.2,0,1.9,0,0,3.1,0,1.1,3,0,7.6,0,1.4,0,1.5,30.2,0,0,0,0,0,0,14.5,24.3,31.7,13,20.3,0,22.3,1.6,0,20.6,1.6,22.6
05-Apr,38,2.3,12.6,0,2.6,4.7,63.4,23.3,0,31.1,10.2,9.2,0,2,0,0.6,13.2,4.7,0,0,3.8,0,0,11.5,26.5,9.6,18,3.1,27.1,16.1,2.8,0.2,8,0.4,18.2
06-Apr,7,0,5.6,5.7,6.1,0.2,35.7,36,15,0,14.9,1,0,5.3,4.4,0,5,8.9,0,0,9.2,0,0,0,7.8,8.7,0,0,0,35.1,0,0,0.6,4.6,8
07-Apr,0,11.8,0,1.2,0,3,82,1.5,0.2,0,0,30,0,2.4,9,7.5,5.8,0,0,0,7.7,0,0,0,0,11.8,0,0,0,0,0,0,7,6.6,1.8
08-Apr,0,3.9,0,2.2,22,2.3,9,0.8,11.2,36.6,0,69,0,0,10.4,0,6.3,0,10.5,0,8.3,0,0,31.5,0,7.1,0,21.3,0,0,0,0.2,5.8,2.2,1
09-Apr,0,0,0,19.4,4.9,12.3,24.3,5.6,7.7,16.8,7.3,1.8,90,0.9,0,2.2,23.4,2.7,4.2,0,0,2.5,0,13.1,0,0,9.1,40.1,18.7,0,1.4,0,12.6,0,10.8
10-Apr,28.1,0.2,0,18.7,11.9,0,0,9.7,0,3.4,36.1,1.2,0,12,0,0,0,10.3,0,0,0,0,0,10.5,0,0,7.7,7.1,15.1,0,0.2,8.8,0.6,0,0
11-Apr,8.9,0,5.9,2.8,1.5,15,0,2,2.1,2.9,0,0,0,2.9,5.3,0,0,10,0,0,0,11.3,9,0,0,3.4,6.1,0,7.7,17.4,0,1.4,0.4,0,4
12-Apr,47.1,7,0,0.3,0,5.8,0,0,0.4,21.9,17.2,0,0,0,4.6,0,0,5.4,0,0,0,9.8,2.1,0,0,8.7,0,0,13.7,11.6,0,6.2,7,14,0
13-Apr,0,0.4,0.8,35.3,2,4.4,0,16.1,0,1.9,0,0,0,1.4,0.1,0,0,0,0,0,0,10.1,3.2,16.7,0,0,0,0,0,9.1,0,11.4,20.2,1.2,0.6
14-Apr,6.5,15.2,28.5,0,33.2,13.8,0,44.4,0,5.8,0,0,0,0,2.3,36,0,0,0,0,0,8.8,7.5,22.5,0,0,0,9.7,0,11.8,0,0,23.4,0,0
15-Apr,1.9,1,4.5,0.1,1.2,0,0,0,0,23,0,0,0,0.6,5.2,14.7,0,0,2.4,3.1,0,0,10.7,0,3.3,0,0,13.2,0,3.1,0,0,0,4.2,0
16-Apr,1.4,2.3,2.3,0.3,4.3,0,0.9,32.4,0,0.6,0.4,0,0,0,0,8.2,2,0,6.5,2.1,0,0,0,0,4.3,3.1,0,33.5,0,0,0,3.2,0.2,6,12.6
17-Apr,7.8,8.7,20.4,1.9,5.5,0,0,4.3,0,0.7,1.4,0,0,0,0,8,22.3,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0,0,0
18-Apr,7.5,12,3.6,1.6,19.2,0,0.6,37.2,0,0,0,0,0,2.2,0,46,0,0,2,0,0,0,3.1,14.2,0,0,0,0,0,0,0,10.8,17.2,0,1.8
19-Apr,0,63.2,4.4,1.8,2,2.1,0,1.2,0,0.4,0,0,2.2,10.4,0,1,0,0,0,0,0,0,5.8,17.1,0,0,22.1,0,22.3,0,0,21.6,1.2,0,20.8
20-Apr,0.4,22.1,5.9,5.2,0,26.1,0,19.7,0.4,0,0.6,0,0,36.5,2.5,12,22.1,0,0,0,14.5,0,17.3,27.9,0,0,14.1,11.5,26.1,14.7,1.4,4.8,6.4,0,1.8
21-Apr,18.8,15.1,3.3,0.7,4.8,40,0,12.2,0.9,0,0,1.9,0,0.7,0,0.3,10,8.5,0,0,10.2,0,0,0,0,0,17.1,33.1,7.1,19.3,3.2,0.6,15.4,0,0
22-Apr,4.2,3.3,0,0,14,3,0,8.9,0,1.7,0,2.6,0,24.3,0,0,2.4,0,2.4,10.7,0,0,27.9,0,0,46.6,16.3,8.1,3.1,27.4,0,0.2,0.2,0,4
23-Apr,4.3,3.8,0,11.8,0,2.7,0,3.5,45.8,0,1.7,0,2,10.4,30,0,29.3,0,9.5,15.1,0,0,22.7,3.7,0,12.4,0,3.3,0,24.3,18.2,20.4,1.8,6,0
24-Apr,3.8,16.4,0,5.6,22.6,1.5,0,17.2,1.3,28.2,0,1.4,0,0.8,37,0,10,0,10,0,0,0,19.2,0,5.8,5.1,0,0,0,6.6,0.4,8.8,19.4,0,0.4
25-Apr,10.5,28.1,14.5,23.1,0.2,25.3,0,0.8,2,16.3,0.6,2.4,0,24.7,26.7,0,3.5,0,24.5,2.1,3.1,24.6,26.3,0,11.4,3.1,0,0,8.5,0,0,3.2,1.4,0,17
26-Apr,0,16.2,11.3,0.1,0.5,7,0,11.8,4.8,4.5,0,0,0,31.1,0,3,0,0,3,5.4,0,8.3,28.1,0,9.3,0,3.7,0,6.1,0,0,0,0,0.2,11.8
27-Apr,0.2,23.2,0,0,9.1,5.6,4.8,0,1,12.7,0,34.9,0,35,35.5,0,0,0,15,0,8.5,10.7,3.8,0,0,10.1,0,17.9,0,3.1,31.2,26,15.2,15.2,54
28-Apr,0,5.4,3.6,0,2.3,7,0.6,49.6,0,8.3,0,8,0,0,26.4,5.5,8.2,2.5,25,0,0,21.2,13.2,10,0,22.7,0,25.1,0,6.8,14.2,28,29.4,0,0
29-Apr,0.1,3.2,0.3,0,0.5,0.3,0,19.2,0.9,29.2,0,3.3,0,5.6,5.8,1,20.3,0,0,20,0,2.1,9.7,0,7.1,12.3,0,26.2,32.3,13.1,0,10,10.2,0,0
30-Apr,0,2.1,0,2.1,4.1,2.8,21.8,10.4,0.1,0,4.3,28.3,0,10.7,11.4,0.5,37.2,0,0,0,0,2.3,11.3,0,18.3,7.5,0,0,7.5,14.1,8.8,15.4,10.8,0,3.4
01-May,0,13.2,3,0,0,0,5.4,0.5,1,3,0,2.5,20.5,1,8.5,8.8,0,0,6.5,2,0,4.5,8.7,17.5,10.5,0,0,22.7,10.1,8.6,0.2,27,6.8,6.6,0.6
02-May,0,2.1,0,0,0.5,6.4,2.5,0,0,34,8.2,10.7,1.5,0,3.8,0,0,18,0,2.2,0,10.8,5.2,0,7.3,0,0,8.4,0,17.1,1.8,0,3.4,0,14.8
03-May,0,0.6,0,0,0,0,0,3.1,0,0,28,3.8,15,0,0,0,0,0,0,0,0,7.5,12.3,16.7,11.8,0,0,3.1,0,4.2,19.2,29.4,61.2,0.6,1
04-May,0,2.5,0,6.1,4.3,1.4,20.8,0,0,0.2,0,2,4.6,0,0,0,0,0,17.3,0,0,5.7,3.1,0,9.3,11.3,7.8,0,0,0,6.6,20.8,12.2,0.6,8
05-May,5.9,40,0,5.5,2,17.1,0.1,0.6,0.5,0,7.9,42.7,21.2,0,0.6,21.5,0,0,0,0,0,15,2.5,0,8.7,3.4,10.1,0,18.1,0,3,31.4,2.6,15.8,0.6
