Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
06-May,0.4,13.3,0,74.8,12,16.7,0,1.5,2.6,0,0,16.2,26.9,5.2,0,0,0,17.8,0,7.5,3.8,10,0,0,20.7,0,20.3,0,22.4,0,10.4,4,1.2,0,0.6
07-May,17.2,31.8,3.3,15.3,2.9,19,19.9,15.4,16.5,3,8.4,0,28.7,3,0.7,2.2,0,33,0,0,0,0,0,0,22.3,3.4,0,0,27.8,0,1.2,26.8,14.2,1,0.8
08-May,4,7.5,8,12.9,4.8,6.1,17.7,0,0,4.3,14.1,2,9.4,0.4,6,0,0,7.6,0,2.1,0,0,0,16.3,0,2.1,0,0,0,7.7,17.6,6.6,21.8,23.8,4
09-May,3.8,13.4,26.3,2.9,0,14.7,8.2,7.1,0,7.6,0,0.4,0,0,0,24.5,0,4,0,6,4.8,3.1,5.1,4.2,0,0,0,33.4,0,21.3,0.2,4.4,4.6,12.4,11.6
10-May,0.7,16,10.7,14,1.8,0,13.4,0,0.6,0,0.4,2.9,0,0,15,0,0,5.2,0,37,3.7,9.4,26.2,0,0,0,11.5,9.2,0,9.1,0.2,13.4,9.8,10,3.4
11-May,9.5,5.2,0,3.1,11.9,15.3,0,0,1.4,0,0.9,23.8,15,0,14,0.8,16,40,11.1,0,7.5,10.3,8.7,3.1,0,0,17.1,14.1,10.1,0.7,1.2,0,18,11,8.6
12-May,8.5,0,1.5,6.1,0,6.1,31.3,36.8,1,21.7,10,9.8,8.5,0,15,24,0,0,0,0,4.4,0,14.5,0,0,0,3.1,31.1,33.7,0,0,6,0,17.4,0
13-May,6.1,0,0,8.5,0,25.8,6.2,24.9,16,0.5,0,38.4,15.6,0,1,0,0,0,0,0,22.1,0,1.9,0,7.8,3.1,0,0,9.6,0,0,4.8,0,6.8,13.2
14-May,6.7,9.5,19.1,0.2,0,12.7,8.1,1.5,1.3,7.9,14.2,16.5,0,3.7,12.2,1,10.5,2.5,0,0,0,0,0.5,0,10.7,6.5,0,0,11.1,0,0,31,0,9.6,10
15-May,66.5,12.1,20.5,30.1,2.2,13.3,2.8,0.7,4,0,7.8,0.4,3.6,3.7,0.6,0,1.5,6.4,0,5.4,28.4,0,0,0,9.3,3.1,0,0,12.7,0,2.2,3.6,0,0.8,0.4
16-May,1.1,0.5,16,1,1.8,31.4,12.6,11,1.6,0,0,3.6,14.4,20,0,4.5,0,4.3,0,0,0,0,0,0,0,2.8,20.1,0,0,8.7,0,31.8,0,0,3.2
17-May,4.8,0,11.4,0.7,0,0,0,0,2,7.6,2,0,19.6,0,1.5,0,0,0,90.3,0,1.3,2.5,0,0,0,0,19.1,0,0,19.3,0,24.2,0,0.6,0
18-May,1.1,0.1,6.5,2.2,1.9,0,0,4.6,0,7.6,0,0,0.8,1.1,9.8,0,0,0,0,0,0,0,0,0,0,0,3.1,22.1,0,29.1,4.4,2.2,0,0,19.4
19-May,59.4,5.6,14.3,0.2,17.2,0,4.4,10,0,16.1,0,0.8,7.7,0,0,0,0,0,0,0,7.9,0,0,0,7.1,0,0,14.1,0,26.1,0,2.4,0,22.2,0
20-May,0,0,12.6,0.2,1.7,0,19.5,36.4,1.3,0.9,0,5.3,0,0,2.5,0,0,0,0,0,0,0,2.1,8.3,0,0,0,32.3,0,0,4.4,11,0,3,0.2
21-May,6,0,0.4,2.4,24.5,36.2,7,10.7,12,17.5,0,3.5,4,0,0,0,0,46.7,0,0,2.8,19,0,7.5,14.2,3.3,0,0,22.1,0,20.4,4.4,0,7.2,0
22-May,0,0,0,16.2,20.4,0.5,0,20,6.2,21.7,0,32.8,12.1,0,0,0,0,0,0,0,0,0,0,8.8,15.1,4.5,0,0,15.1,9.3,1.2,0,2,16.2,7.2
23-May,1.5,30.1,0,1.1,7.1,13.7,0,21.6,0.7,2.5,27.2,7.3,1,3.2,0,0,0,0,0,0,0,0,0,0,1.7,15.5,0,0,0,0.4,0,0,0,1.2,2
24-May,3,1.2,29.1,0,0,0,0,0.7,11.6,70.5,1.5,0,1,8.2,0,0,0,0,0,5.6,0,0,0,7.3,0,0,8.5,0,0,3.3,4.4,32.2,0,9.2,0
25-May,5.3,10.2,3,0,0,0.7,0,6.6,0,1.2,15.3,0,0,5.3,18,0,4.5,0,7,3.2,0,0,0,17.5,0,0,7.9,14.1,7.1,4.8,1,2,0,24.2,1
26-May,4.4,1.5,0,2.7,7.5,1,0,0,0,2.8,9,0,2.6,0,7.2,0,0,9,0,0,12.2,0,0,0,10.4,0,0,22.2,32.8,12.7,8.6,5.2,0,0,0.2
27-May,7,9,14.8,0,0.1,0,0,0,11.7,3,1,3,4.2,5,0.5,0,0,0,0,7.2,6.2,2.3,0,0,13.4,2.7,0,0,14.7,0,0,0,0.6,7.2,7.6
28-May,3.5,0,3.2,0,0,0.1,0,2.4,0,1.5,0.9,0,33.3,13,4.4,16.2,0,0,0,0,0,0,0,0,22.3,15.9,0,0,0,0,15.4,4.6,0,0,0
29-May,34.9,3,0,0.1,0,4.9,0,21,1.8,0,0.9,0,3.6,1.7,0,0,0,0,5.4,0,22,0,3.5,0,16.8,9.1,0,0,0,0,0,17.6,0,0.8,9.2
30-May,4.6,6.9,9.8,0.7,21.5,0,0,5,15.1,1.1,0,6.6,0,0,3,0,0,0,0,0,13.1,0,0,0,0,3.2,0,10.1,0,25.1,0,0,0,3,2.2
31-May,3.6,3.7,11.1,2.8,1.3,8.2,2.9,0,1.6,0,7.2,3,0,2.5,3,0.6,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0,6.6,13
01-Jun,0,0,0.1,16.8,0.3,0,4.9,0,0,0,3.5,1.2,0,0,10.6,0,0,12,0,0,13.4,9.3,0,0,0,12.1,8.7,0,10.5,0,3,0,5.4,0,0.4
02-Jun,0,0,0,14.6,0,2.2,0,0,12,2.3,2.3,0,0,13.6,0,0,0,2,0,0,4.3,0,0,0,0,0,10.1,0,3.4,11.8,0,4.4,0,13.6,3.4
03-Jun,0,0,0,6.4,0,10.7,1.4,0,0,0,0,10.5,0,0,20,0,2.1,0,0,3.4,0,2.3,0,0,0,0,22.1,19.3,0,15.2,0,0,0,0,0.6
04-Jun,28.5,17.7,4.2,0.7,0,0.7,0,4.1,0,0,19,0.4,18.5,0,0,0,5.2,23.3,0,0,4.6,0,1.5,2.1,0,0,3.1,11.1,0,7.4,0,4,0,16.8,0
05-Jun,13.4,0,3.7,4,0,0,1.5,0,8.8,2.9,36.4,8.4,10,1.3,2,6.1,0,0,0,0,0,0,0,24.6,0,3.1,0,7.5,0,10.6,0,0,8.2,16.6,6.4
06-Jun,2.6,0,0,14.8,9.4,14.4,0,0,20.6,0,0,1.6,0,0,0,0,3.2,9,0,2.9,6.6,0,0,0,0,2.5,0,13.1,11.7,0,11.4,0.4,1.6,5.2,0.4
07-Jun,0.1,1,0,0.7,0,2.3,0,10.2,0,1.7,0.8,2.1,1.1,6,0,59.6,5.9,28.4,13.1,0,0,0,16.2,0,3.7,0,11.8,0,14.7,0,1.8,19,4.6,1.8,11.8
08-Jun,0,0,0,0,0.1,1,3.2,0,0.5,11.5,6.6,21.8,3.9,0,0,0,0,0,0,9,0,0,17.2,2.4,8.2,0,33.7,0,26.2,0,0.2,0,0,0.2,0
09-Jun,0,0.3,0,11.8,0.2,3.7,0,6.5,6,0,0.8,0,0,0,0,0,0,0,0,0,4.4,0,9.5,1.3,0,0,19.8,0,0,0,0,0,0,2.2,0.2
10-Jun,0,0.6,0,4.7,1.5,0,4.6,4,77.2,27.1,1.6,0,0,0,6.8,0,0,0,0,0,0,0.5,0,0,0,0,7.1,0,0,18.1,25,13.6,0,6,0
11-Jun,0,0.6,1.4,0.2,10.6,14.3,0,0,0,0.2,1,8.6,4.4,0,0,1,6.2,2,14,0,0,0,0,0,0,2.8,12.3,25.7,0,26.3,2,4.8,5.2,13.8,0
12-Jun,0,13,19.1,0,0,0.5,8.8,8,5.7,0,3.8,1.4,0,0,0,3,2.1,0,33,1,0,0,0,10.1,0,0,0,18.6,3.1,28.1,1.4,0,0,0,1.2
13-Jun,0,17.6,42.5,8.7,0,0,18.2,5.4,2.1,3.1,1,6,0,0,6,0,3.5,0,0,1.5,7.1,0,3.1,0,0,0,2.1,10.8,4.5,7.1,3.2,0,34.2,1.2,3.6
14-Jun,0,1.6,0,0,9.8,0,4.3,0,0,0,0,0.4,2.8,0,48.4,1.2,28,0,17.1,0,28.2,0,10.2,0,0,0,17.3,0,0,0,0,0,0,9.6,0.6
15-Jun,4.4,3.1,0.9,5.7,5.4,0,0,2.9,1.6,19.1,10.6,0,11.6,2,0,0,0,0,0,0,0,2,0,0,0,0,10.5,0,0,0,0,3,0.6,13,25.8
16-Jun,0.6,4.3,0,11.8,15.1,0.3,33,0,4.7,17,0,22.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
17-Jun,0,0,0,24.4,0,0.9,0,0,0,0,0,0.8,6.5,0,0,0,0,0,0,0,0,37.1,0,3.1,0,11.7,0,27.8,0,3.1,0.4,4,0.2,0,0
18-Jun,0.4,0,1.1,9.5,0,38,0,0.7,8.2,0,0.6,3,1.1,28.2,0,0,0,0,0,0,0,0,4.1,0,3.1,2.7,0,13.5,27.1,10.7,0,0,1.2,0,0
19-Jun,0,0,0,16.8,10.6,0,0,3.3,0,3.2,0,0,0,0,0,15.1,14.5,0,0,8.5,3.1,0,0,0,9.1,12.5,9.2,22.8,9.9,4.1,2,0.8,1.8,0,2.4
20-Jun,0,1.1,6,8.5,0,0,0,5.2,0,1.1,17.4,0,19,2.6,19.2,1.5,0,0,0,7.5,0,0,0,0,7.6,0,6.1,8.8,24.1,2.3,1,17.2,5.8,0.2,12
21-Jun,3.5,6.2,0,3.2,17.3,0,0,0,0,24.6,0,0,0,0,0,0,0,13,10.1,20,0,0,0,10.1,1.5,0,14.2,0,0,0.6,20.6,27.6,2.2,4,5
22-Jun,0,4,5.4,2.7,0,0,0,0,0,0,2,0,0,10.8,0,0,0,0,0,0,0,0,3.8,16.3,0,0,0,0,0,0,0.6,30.8,1.6,2.8,13.2
23-Jun,0,0,4.7,1.1,0,0,15.5,0,0,0,0,0,8.5,0,0,0,0,0,3,0,0,24,7.2,0,0,0,0,0,0,0,0.2,0.4,0,0,2.8
24-Jun,14.4,4.9,0,0,0,0,0,0.7,1.4,0,0,0,0.4,0,31.4,0,6.4,0,0,7,0,0,2.5,0,0,0,7.1,6.6,13.1,0,0,5.8,5,0,1.4
25-Jun,1,0,9,2.6,0,0,0,0,0,0,0,7.1,8.2,1.7,0,0,1.8,36.4,0,16,2.3,10,0,0,0,10.8,4.4,5.8,8.3,0,1.4,0.2,0.8,1,0
26-Jun,0,1,8.8,0,0,9.6,0.6,0,0,7.8,0,3,0.4,0,5.9,12.2,16,0,6,3.1,13.1,4.8,27.3,0,2.1,17.7,0,13.6,21.1,0,3.6,46.2,0,0.2,26.6
27-Jun,4.8,7.3,0,0.5,1.6,12.6,0,5,0,38,2.2,0,0.8,6,0,24,0,0,0,0,3.7,0,0,3.3,0,0,0,20.7,0,0,3.2,19.2,0,0,7.2
28-Jun,20.9,24.4,4.6,0,0.9,0,4.3,6.6,0,4.2,0,0,9.4,8.7,0,0,0,12,10.1,9,0,7.1,0,0,0,0,0,0,0,4.1,8.8,1.6,0,0,1.2
29-Jun,0.9,0,0.9,0,29.4,5.9,1,16.9,0,0.6,5,0.5,0,9.5,0,0,0,0,9,0,7.9,0,0,1.2,0,0,0,0,0,0,0,2.4,0.2,7.2,0
30-Jun,0,0.9,5.1,0,0,0,3,0,0,0,4.7,2.6,0,0,0,5.6,0.3,0,0,0,0,2.5,0,0,0,0,0,3.8,0,7.1,0,0,2.2,4,0
01-Jul,2.3,0.6,0,0,0.3,0,0,6.8,0,0,3.7,0,25.6,0,0,0,4.3,0,0,9.3,10.1,0,0,0,0,0,8.1,7.6,0,0,0,3,6.6,2.2,6.6
02-Jul,24.1,3.6,4.7,5.2,0,0,0,6,1.2,1.2,19.2,0.9,0,6,0,10,37,0,0,0,0,0,26.1,0,17.1,0,0,7.7,0,0,0,0,3,0.4,5.4
03-Jul,0,9.4,12.7,0.8,0,0,10.9,5.4,0,0,3.2,0.7,0.8,2.2,4.7,0,0,0,0,0,9.5,0,6.1,2.5,3.1,0,0,0,10.7,0,6.8,3.8,0,1.6,0
04-Jul,0,0,0,4.5,3,0,28,17.4,12.5,0,14.5,0.4,0,2.1,0,0,0,0,0,15.5,0,0,2.8,0,0,0,0,0,27.7,0,0.2,0,3.4,6.4,0
05-Jul,6.6,2.7,0,0,0.5,0.3,0,0,15.7,4,5,3.2,0,5.2,0,0,0,0,0,0,0,0,0,0,8.7,0,11.2,0,13.2,18.9,2.2,0,0,7.6,0
06-Jul,0,1.2,1.6,0,4.3,0.4,2.7,8.9,0,4.5,0,1,2.2,4.4,4.5,1.7,0,12,0,0,0,0,0,3.1,0,0,13.1,0,0,12.3,5,1,0,0.8,0
07-Jul,0,0,0,0,4.1,8,32,0,3.8,1,0,0,1,15,0,0,0,0,20,0,7.3,0,0,0,0,0,0,0,0,9.4,3,0,0,0,0
08-Jul,0,0.3,0,4,4.8,1.8,7.5,0,0,3.5,5.9,0,0,0,0,0,0,6,19.6,0,18.1,0,0,0,1.3,7.4,0,0,0,0,1.4,0,0.8,36.8,0.2
09-Jul,3.2,0,0,0,0,8,8.9,0.9,2.2,0,0,0,2.4,16,12,0,5.2,3.2,0,0,11.3,0,0,0,6.5,4.8,0,20.5,3.9,0,0.2,0,9.4,0.2,0.2
10-Jul,0,0,0,3.2,6.8,7.4,5.6,0,0.8,0,0,0,0,0,2.5,3.4,1.5,0,16.4,0,0,16,0,0,0,0,14.3,25.5,17.6,0,6.4,7.4,1.6,0,0
11-Jul,26.6,0,0,0.5,8.6,0.6,3.6,0,0,10.1,0,0.5,1,0,6.2,0,0,4.3,0,0,0,0,1.2,0,0,8.1,7.6,10.1,11.1,0,9,3,0,0.4,0.4
12-Jul,0,0,0,0.6,40.8,8.5,7.3,0,1,1,3,12.4,0,4.4,8.6,0,0,5,4,0,6.1,0,8.3,0,9.7,0,6.6,0,0,3.7,3.2,0,0,2.4,0
13-Jul,0.7,1.8,0,0,0,0,9,1.3,1.1,21.8,9.8,3.1,1.3,8.6,2,0,0,37,0,0,10.2,7.5,0,0,0,0,9.3,0,0,3.9,0,1,0,0.2,0.6
14-Jul,0.2,11.7,11.9,2.4,0,0,18.5,0,0,11.3,6.5,0,1.1,0,2.5,0,0,3.7,0,0,0,0,12,0,0,0,0,0,0,14.1,0,0.4,0,0.6,0
15-Jul,1.6,0,5.5,1.6,0,0,4.8,3.3,11,9.8,24.6,7.1,3.4,10.2,50,0,0,0,0,0,0,0,0,23.5,0,2.8,0,0,0,0,0,5.4,0,6.8,0
16-Jul,0,0,0,1.7,0,0,12.6,0.5,11,0,26.8,0,0.7,22.4,0,0,2,8.5,0,0,0,2.7,0,17.9,0,0,0,0,0,0,0,0.4,0,0,0
17-Jul,0,3,2.1,7.1,9.6,4.4,3,0,1.4,2.1,2.8,0,6.5,0.7,1.4,0,1.2,4,0,0,17.2,11.3,0,10.5,0,0,0,0,0,0,0,0,0,30.6,0
18-Jul,11.5,4,1.3,0.3,0.1,0,32.3,0,1.6,0.9,5.6,0,6.8,0,0,2.5,0,7.5,0,0,0,0,1.1,11.3,10.5,0,0,16.7,17.2,10.8,0.2,0.6,0,0.8,0
19-Jul,7.9,0,4.1,14.2,0,9.6,0,18,8.7,22,7.2,10.3,2.4,0,9.3,0,5.2,0,8.1,0,0,0,5.3,1.3,0,0,19.3,24.3,28.1,32.1,0,3.6,0,6.8,1.6
20-Jul,0,0,0,13.8,1.6,5.6,0,1.9,18,3.7,1.8,1.1,7,0,0,0.4,0,0,17.7,0,16.8,0,17.7,0,0,0,15.1,17.1,0,22.1,0,0,16,0,9
21-Jul,4.7,0,0.1,1,0.8,0.4,0,4.3,1.6,3.8,0.4,3.2,20.5,0,0,0,1.5,0,11.1,31,18.6,6.5,3.7,0,0,0,3.7,0,0,9.3,0,0,0,0,9.8
22-Jul,4.8,11.2,3.4,5.3,0.6,0.8,3,0,25,1,0,0,16.1,0,5.5,7.9,35,0,0,0,22.4,0,0,0,8.7,0,1.2,0,0,0.7,2.4,0,0.4,13.8,52.4
23-Jul,1.5,14,0.3,1.4,16.6,1.1,0.4,0.4,0,0,8,11.4,3.8,0,3.5,6.5,2.5,6.7,0,11,0,0,0,0,10.9,0,0,0,13.2,0,1.6,0,9.2,0,3.4
24-Jul,3.7,0,0,26.8,1.1,0,0.3,11.5,0,11.4,2,3,2.2,8.4,0,0,2.4,3.4,9.5,0,18.7,9.3,0,0,31.7,9.2,0,0,6.7,0,0,22.8,0,15.2,12.2
25-Jul,4.2,0.6,0.4,0.5,7.5,0,0.7,3.1,0,0,0,0,1.1,0,25,0,21.2,0,11.5,0,0,0,0,17.3,0,7.3,0,0,4.1,0,0,1,3,14.8,11.4
26-Jul,9.7,0,3.5,16,0,0,1.2,23.5,1.2,15.1,25.1,1.4,1.4,7.2,0,0,0,13,0,0,22.1,0,0,2.4,0,6.2,0,0,33,0,10.6,0.2,9,0.6,14
27-Jul,0,0,0,0,16.8,27.1,1.1,1,0,2.8,4.5,2.3,6.7,12.4,0,9,4.5,17.4,0,0,17.1,0,0,0,22.8,7.8,10.9,3.3,0,9.2,0,0,9.4,10.4,1.8
28-Jul,3.2,1.7,0,0.2,0,7.4,0.5,5.8,0,3.6,0,11.8,0,0,17.5,10.5,10.1,0,0,0,8.9,0,0,0,33.5,2.1,11.3,8.4,0,3.1,0,0.2,0,7.2,0
29-Jul,9.4,0,6.4,7.6,6.9,5.1,23.6,5,3,13.4,3,0,5.7,0,0,19,6.2,23.5,0,0,17.1,4.1,0,2.1,8.2,7.8,0,4.6,0,0,0,0,23.2,8.2,5
30-Jul,5,18.6,1.4,0,0,5.2,29,0.1,0,11.7,14.3,0,27.3,0.2,0,0,0,8,0,0,9.3,15.3,0,0,8.4,0,0,0,0,0,40.2,0,5.4,0.8,2.2
31-Jul,0,11.9,0,0,1.7,0,9.1,0,0,8.5,12.3,0,4.5,0.6,0,9.1,0,0,0,0,0,0,0,0,0,4.2,3.1,22.3,16.1,12.6,12.6,78.8,19.6,1.4,9.6
01-Aug,0,7.8,0,1,1.9,0,3,20.2,14.3,0,0.7,7.4,0,0,2.1,24.5,7.4,10.7,0,17.1,17.5,0,0,0,4.5,0,7.2,11.4,10.3,22.1,6.8,0,1.2,1.8,1.4
02-Aug,4.2,0.5,6.2,0.6,5,0.5,2.5,4.1,19,0.7,0,1.3,5,3.1,4.3,0,21.5,2.4,0,4.4,20.5,19.3,0,0,5.6,0,0,0,2.5,7.1,2,0.2,17.6,7.2,8.2
03-Aug,15.1,8.1,0,5.8,8.7,0,0,22.7,0.8,0.6,21.3,9.2,0,0,0,0,1.5,26,0,0,0,0,0,0,4.2,12.2,0,0,0,0,0,15.4,2.8,6.8,2.8
04-Aug,2.5,0.4,3,1.1,10.1,2.8,0,6.4,2.1,0,5.3,0.6,0,0.8,0,0,0,3.4,3,0,0,8.3,0,0,7.3,12.7,0,0,0,0,15.2,0,9.2,36.6,0
05-Aug,33.2,0,0.4,2.2,0,0,1.8,4.5,0,10.5,13.9,1,0,3,0,0,9.5,3.8,0,0,0,7.8,16.8,0,0,10.2,11.5,0,17.1,0,0.8,17.2,0,6.4,17.8
06-Aug,0,0,4.2,0,0,0,7.9,4.7,0,8.4,6,1.9,0,0,39.8,0,0,0,0,3.1,5.1,21.5,22.5,0,0,8.6,18.9,0,6.6,3,6,0.6,7.2,5.6,0.2
07-Aug,1,1.3,0,10,0,41.9,0,11,10.5,0,15.4,2.6,3.5,0,0,2.7,10,0,0,11.1,0,10.3,17.1,0,26.2,9.3,7.1,30.1,0,2.5,0.2,0.4,2.6,0,14.2
08-Aug,3.9,3.5,7.8,6,0.2,0.2,0,3.2,0.6,0,9.7,0.5,7.8,0,7.9,0,1.2,0,0,17.3,0,0,0,0,0,19.2,0,22.3,0,0.9,1,0.2,2,30.4,0.4
09-Aug,11.2,2.7,13,0.4,8.5,3.3,2.5,7.4,0,0,0,7.2,0,1.5,9.2,0,1.5,27,20.2,0,22.1,8.5,0,0,0,5.8,0,11.1,0,0,1.6,7,12.2,1,5.8
10-Aug,1.4,39.8,6,0,6.8,0,4.7,0,2.5,0,0,0.8,0,14,0,24.2,4.5,17,6.1,8.7,8.3,17.3,0,28.9,3.5,7.8,0,16.1,0,0,11.4,13.6,0,0,0
11-Aug,0,0.6,1.7,0.6,2.4,0,0.9,11.9,5.2,0,1.3,15.3,0,2.5,0,3.8,0,2,8.2,3.1,0,0,8.9,10.3,0,6.1,8.1,0,13.7,0,3.2,0,8.2,0,0
12-Aug,21.2,0.3,1.2,2,0,0,2.8,14.8,1,10.1,4.5,0,0,12.5,0,2.1,0,0,0,11.3,0,0,0,21.5,0,4.3,0,0,24.8,0,0.8,1.2,0,14.8,0.6
13-Aug,1.1,0,0,0,17.8,25.8,7.3,0.1,7.4,17.6,2.2,0.4,0,1.7,10.2,24.2,0,6.5,7.2,0,0,0,26.7,0,3.1,3.1,0,0,0,17.8,0.6,0.4,9.6,7.8,0
14-Aug,29.1,13.2,0,0.6,8,0,8.1,3.6,0,0,0,0,30.6,1.2,20.7,5.8,0,0,0,10.1,0,0,4.5,31.5,5.2,14.3,9.7,0,0,22.3,29.2,0,0,5.8,0
15-Aug,0,4.1,3.3,3,0.5,13.4,13.4,0,0,0,7,1.1,5.9,0,0,0,0,0,8.3,16.3,10.1,0,0,0,2.1,24.7,8.3,3.3,0,35.6,0.6,0,0,13,0
16-Aug,5.9,3,1.5,0,0,0,0,0.1,1.6,0,6.7,35.6,0,6.2,0,0,0,0,0,0,9.7,8.3,9.8,13.2,7.2,16.8,3.1,8.1,0,4.1,27.6,1.4,0.4,2.8,1.2
17-Aug,0,0.2,8.8,0,0.7,0,7.2,24.7,6.6,0,6.2,6,0,0,0,8,0,12,0,7.8,0,17.5,7.3,17.1,0,1.8,0,0,0,0,0.8,0,9.6,6,0
18-Aug,0,7.2,16,0.5,2.3,0,0.8,0,3.5,0,1.2,0,0,8.4,23.8,0,0,2,0,2.1,0,0,0,6.2,0,0,0,0,0,0,11.2,0,5.2,0,1.8
19-Aug,25.1,21.2,0.8,1.1,0,0,2.5,1.7,1.8,0,7.3,0.4,0,0,0,0,11.5,16,0,0,0,0,0,0,0,0,7.5,0,0,0,13.8,0,0.4,4.2,0
20-Aug,21.5,11.4,5.2,0.2,0,0,14.5,5.7,0,11.5,35.4,19.7,0,0,0,6.4,8.2,17.4,0,0,0,4.7,7.9,0,4.1,0,11.3,0,28.7,0.3,0,0.4,2,0,0
21-Aug,4.2,2.5,12.5,7.1,0,27,13.3,24.4,11.4,5.6,15.7,0,8.1,22.5,0,33.5,0,2.5,30.1,11.2,0,0,0,7.7,39.1,3.1,4.5,0,37.5,5.1,0,22.4,5,0,7.2
22-Aug,0,5.1,0,0.2,0,9.3,7.9,0.2,8.5,4.6,4.2,4.4,1.6,0,0,1.3,0,0,13.1,3.5,1.3,9.3,0,9.3,3.5,0,0,7.7,24.2,11.7,0,0,13.2,2.6,4.4
23-Aug,2.3,3.9,5.4,5.4,0,0,7.6,39.7,0,0.5,33.5,0,0.4,12.5,0,14,0,14,0,25.3,0,0,7.8,0,0,0,0,41.1,0,6.1,16.8,34.2,10.4,0.8,20.6
24-Aug,8,0.5,8.4,1,0,0,0.9,13.4,0,0,2.2,2,2.1,15.4,13.3,10.7,0,3.2,3.1,0,0,12.4,7.3,0,0,0,0,13.1,0,0,0,0,17.8,0.6,0.4
25-Aug,0.4,0,15.7,2.8,14,5.6,1.7,0,1.2,3.1,0.6,0,3,21.2,0,9.5,0,4.5,0,0,3.1,0,11.1,0,0,0,8.1,6.1,0,0,1.4,0,0,4.4,0
26-Aug,2.5,16.4,2,0.4,6.2,0.8,22,8.6,0,1.4,7.9,0,0,0,0,14,22.4,6.5,0,40,0,0,6.2,7.8,5.2,0,7.7,0,0,0,2,15.6,7.2,0,8.2
27-Aug,0.6,0.6,1.4,3.4,2.6,0,0,0,2.6,0.4,1.1,0.7,16.8,0,1,35.6,0,22,0,11.5,0,0,0,10.7,33.4,14.7,10.3,0,13.2,10.7,0,34.2,4.2,3.6,0.8
